amount,transaction_type,recipient,source_device,city,occurred_at,transaction_frequency_24h,is_new_device,home_city,fraud_type
505.68,TRANSFER,Synthetic Recipient 00,iPhone 15 Pro,Istanbul,2026-01-01T16:00:00Z,5,false,Istanbul,TEMIZ
11772.82,ODEME,Synthetic Recipient 01,Unknown Web Browser,Paris,2026-01-02T10:00:00Z,11,true,Berlin,HESAP_ELE_GECIRME
3491.61,TRANSFER,Synthetic Recipient 02,Unknown Web Browser,Moscow,2026-01-03T20:00:00Z,6,true,Ankara,HESAP_ELE_GECIRME
8047.87,TRANSFER,Synthetic Recipient 03,Samsung Galaxy,Berlin,2026-01-04T17:00:00Z,2,false,Istanbul,TEMIZ
3424.79,TRANSFER,Synthetic Recipient 04,Android Phone,Ankara,2026-01-05T12:00:00Z,4,false,Ankara,TEMIZ
4012.21,ODEME,Synthetic Recipient 05,Samsung Galaxy,Izmir,2026-01-06T09:00:00Z,3,false,Izmir,CALINTI_KART
1525.33,TRANSFER,Synthetic Recipient 06,Unknown Web Browser,Istanbul,2026-01-07T01:00:00Z,10,true,Istanbul,TEMIZ
1650.84,ODEME,Synthetic Recipient 07,Samsung Galaxy,Moscow,2026-01-08T23:00:00Z,8,false,Izmir,TEMIZ
1958.36,TRANSFER,Synthetic Recipient 08,Samsung Galaxy,Istanbul,2026-01-09T22:00:00Z,5,false,Istanbul,TEMIZ
1013.08,ODEME,Synthetic Recipient 09,New Android Device,Ankara,2026-01-10T03:00:00Z,7,true,Ankara,TEMIZ
4940.87,CEKIM,Synthetic Recipient 10,Web Browser,Dubai,2026-01-11T01:00:00Z,3,false,Istanbul,TEMIZ
15795.20,CEKIM,Synthetic Recipient 11,Samsung Galaxy,Istanbul,2026-01-12T02:00:00Z,1,false,Istanbul,TEMIZ
889.99,TRANSFER,Synthetic Recipient 12,New iPhone,Berlin,2026-01-13T05:00:00Z,1,true,Berlin,TEMIZ
11233.45,ODEME,Synthetic Recipient 13,Web Browser,Moscow,2026-01-14T21:00:00Z,4,false,Istanbul,TEMIZ
5927.65,TRANSFER,Synthetic Recipient 14,Samsung Galaxy,Dubai,2026-01-15T03:00:00Z,1,false,Berlin,TEMIZ
1863.75,ODEME,Synthetic Recipient 15,Samsung Galaxy,New York,2026-01-16T03:00:00Z,3,false,Istanbul,TEMIZ
498.01,CEKIM,Synthetic Recipient 16,Android Phone,Berlin,2026-01-17T20:00:00Z,3,false,Istanbul,TEMIZ
3479.03,TRANSFER,Synthetic Recipient 17,Web Browser,Ankara,2026-01-18T01:00:00Z,6,false,Ankara,PARA_AKLAMA
3563.04,TRANSFER,Synthetic Recipient 18,Android Phone,Izmir,2026-01-19T18:00:00Z,2,false,Izmir,TEMIZ
577.21,TRANSFER,Synthetic Recipient 19,Android Phone,London,2026-01-20T02:00:00Z,2,false,Istanbul,TEMIZ
408.67,TRANSFER,Synthetic Recipient 20,iPhone 15 Pro,Istanbul,2026-01-21T12:00:00Z,6,false,Istanbul,TEMIZ
1143.87,CEKIM,Synthetic Recipient 21,Web Browser,Dubai,2026-01-22T07:00:00Z,2,false,Izmir,TEMIZ
3294.99,ODEME,Synthetic Recipient 22,New Android Device,Ankara,2026-01-23T07:00:00Z,3,true,Ankara,TEMIZ
6398.20,TRANSFER,Synthetic Recipient 23,Android Phone,Dubai,2026-01-24T15:00:00Z,4,false,Berlin,TEMIZ
1292.74,ODEME,Synthetic Recipient 24,Unknown Web Browser,Istanbul,2026-01-25T07:00:00Z,4,true,Istanbul,TEMIZ
1086.18,FATURA,Synthetic Recipient 25,New Android Device,New York,2026-01-26T00:00:00Z,5,true,Izmir,HESAP_ELE_GECIRME
6757.47,ODEME,Synthetic Recipient 26,Web Browser,Izmir,2026-01-27T22:00:00Z,6,false,Izmir,TEMIZ
1810.04,CEKIM,Synthetic Recipient 27,Unknown Web Browser,Izmir,2026-01-28T10:00:00Z,3,true,Izmir,HESAP_ELE_GECIRME
20926.66,ODEME,Synthetic Recipient 28,iPhone 15 Pro,Berlin,2026-01-29T15:00:00Z,1,false,Berlin,CALINTI_KART
7085.92,ODEME,Synthetic Recipient 29,Android Phone,Izmir,2026-01-30T17:00:00Z,7,false,Izmir,TEMIZ
2530.93,ODEME,Synthetic Recipient 30,Android Phone,London,2026-01-31T10:00:00Z,4,false,Berlin,TEMIZ
3321.97,ODEME,Synthetic Recipient 31,Samsung Galaxy,Ankara,2026-02-01T10:00:00Z,15,false,Ankara,TEMIZ
4769.29,TRANSFER,Synthetic Recipient 32,iPhone 15 Pro,Ankara,2026-02-02T07:00:00Z,3,false,Ankara,TEMIZ
6404.90,TRANSFER,Synthetic Recipient 33,iPhone 15 Pro,Berlin,2026-02-03T06:00:00Z,2,false,Berlin,TEMIZ
256.21,TRANSFER,Synthetic Recipient 34,iPhone 15 Pro,Berlin,2026-02-04T08:00:00Z,8,false,Berlin,TEMIZ
23923.29,TRANSFER,Synthetic Recipient 35,iPhone 15 Pro,Istanbul,2026-02-05T14:00:00Z,3,false,Istanbul,TEMIZ
1621.16,FATURA,Synthetic Recipient 36,iPhone 15 Pro,Ankara,2026-02-06T15:00:00Z,7,false,Ankara,TEMIZ
22171.64,TRANSFER,Synthetic Recipient 37,iPhone 15 Pro,Istanbul,2026-02-07T22:00:00Z,2,false,Istanbul,TEMIZ
3509.40,TRANSFER,Synthetic Recipient 38,iPhone 15 Pro,Izmir,2026-02-08T08:00:00Z,7,false,Izmir,TEMIZ
